Date,Open,High,Low,Close,predict,isbuy
2017-01-04,19298.6796875,19594.16015625,19277.9296875,19594.16015625,0.811963398491145,True
2017-01-05,19602.099609375,19615.400390625,19473.279296875,19520.689453125,0.6593564829419121,True
2017-01-06,19393.55078125,19472.369140625,19354.439453125,19454.330078125,0.6013697098852501,True
2017-01-10,19414.830078125,19484.900390625,19255.349609375,19301.439453125,0.5712672516856875,True
2017-01-11,19358.640625,19402.169921875,19325.4609375,19364.669921875,0.5517251813589484,True
2017-01-12,19300.189453125,19300.189453125,19069.01953125,19134.69921875,0.5949173403793028,True
2017-01-13,19174.970703125,19299.359375,19156.9296875,19287.279296875,0.60213411718256,True
2017-01-16,19219.130859375,19255.41015625,19061.26953125,19095.240234375,0.41601898053533937,False
2017-01-17,19038.44921875,19043.91015625,18812.859375,18813.529296875,0.5235249467271281,True
2017-01-18,18753.9609375,18941.240234375,18650.330078125,18894.369140625,0.5339886087257981,True
2017-01-19,19082.830078125,19122.390625,18982.130859375,19072.25,0.7876869838271936,True
2017-01-20,19059.150390625,19176.859375,19040.19921875,19137.91015625,0.6139461380395081,True
2017-01-23,18938.44921875,19024.2109375,18879.6796875,18891.029296875,0.51376093860343,True
2017-01-24,18817.419921875,18915.69921875,18783.16015625,18787.990234375,0.5635524508003775,True
2017-01-25,19091.23046875,19133.1796875,18987.44921875,19057.5,0.5640766001112907,True
2017-01-26,19260.669921875,19405.23046875,19232.4609375,19402.390625,0.7336800547767525,True
2017-01-27,19453.509765625,19486.6796875,19404.130859375,19467.400390625,0.6506441512798213,True
2017-01-30,19371.279296875,19390.970703125,19295.80078125,19368.849609375,0.5951163792502406,True
2017-01-31,19145.349609375,19199.75,19041.33984375,19041.33984375,0.6557406080025807,True
2017-02-01,18926.970703125,19155.7890625,18916.1796875,19148.080078125,0.5773362277410996,True
2017-02-02,19152.7890625,19170.630859375,18866.80078125,18914.580078125,0.620594531060435,True
2017-02-03,18996.740234375,19061.259765625,18830.890625,18918.19921875,0.599943336699215,True
2017-02-06,19069.720703125,19075.5703125,18899.400390625,18976.7109375,0.5354855410007207,True
2017-02-07,18844.119140625,18970.580078125,18805.3203125,18910.779296875,0.5541009301852944,True
2017-02-08,18951.16015625,19009.240234375,18875.5703125,19007.599609375,0.5587919181958484,True
2017-02-09,18942.0390625,18991.23046875,18874.91015625,18907.669921875,0.5045599900431389,True
2017-02-10,19216.740234375,19395.990234375,19193.5703125,19378.9296875,0.7506376742438859,True
2017-02-13,19513.779296875,19519.439453125,19418.1796875,19459.150390625,0.5368521147470879,True
