Date,Open,High,Low,Close,predict,isbuy
2017-01-04,2519.890773536524,2565.8617538645553,2519.465116311265,2552.24072265625,0.5325022986259073,True
2017-01-05,2558.2000593568405,2594.8065826687684,2553.943486878709,2582.036865234375,0.4986335464374179,False
2017-01-06,2559.902550950393,2608.427474596609,2547.1328342013885,2605.022216796875,0.48357614382990505,False
2017-01-10,2616.9411058429027,2628.0081957505013,2595.658240635982,2604.17138671875,0.486299631093048,False
2017-01-11,2596.509536513333,2611.833199351772,2576.0779860620805,2599.914794921875,0.47930901568483636,False
2017-01-12,2600.766026237709,2600.766026237709,2565.862128667907,2581.185791015625,0.48871070484684404,False
2017-01-13,2606.724961917223,2630.561767578125,2588.8473576715464,2630.561767578125,0.5117848462766069,True
2017-01-16,2625.4538028679763,2633.1156330319877,2606.724884689281,2613.535400390625,0.48029816459791075,False
2017-01-17,2610.130524704912,2612.6844684668545,2579.483199561606,2589.698974609375,0.4754130459024075,False
2017-01-18,2589.698974609375,2598.2121204825157,2572.672682863093,2589.698974609375,0.4882550874767086,False
2017-01-19,2609.279056556537,2634.8184926729145,2592.2527658122863,2610.13037109375,0.47324819742272495,False
2017-01-20,2622.0488243189748,2634.81854261923,2599.0633313785165,2621.197509765625,0.47008221024027674,False
2017-01-23,2582.8882976888017,2591.4014430338543,2551.815317179362,2553.943603515625,0.5054356022920072,True
2017-01-24,2543.7276824395567,2561.605286633409,2543.7276824395567,2548.409912109375,0.4843128798985054,False
2017-01-25,2570.969738151325,2576.9289395311457,2539.045445045141,2546.707275390625,0.4781489839521487,False
2017-01-26,2554.7951697566205,2565.862259795553,2547.133338191206,2555.646484375,0.5158173515527037,True
2017-01-27,2559.902917409452,2647.5883183050864,2557.348973694045,2633.96728515625,0.5113362050153102,True
2017-01-30,2612.684310878237,2612.684310878237,2593.1040765510293,2609.279052734375,0.4505242872226228,False
2017-01-31,2596.5089542401506,2610.9812992309976,2579.482666015625,2579.482666015625,0.4734341508440199,False
2017-02-01,2560.7540143280635,2584.5908203125,2552.240869333621,2584.5908203125,0.46311905473391124,False
2017-02-02,2555.646268891688,2562.456785264484,2524.573287940806,2534.7890625,0.5200216615438609,True
2017-02-03,2552.666544456717,2552.666544456717,2477.7508679810826,2480.73046875,0.5334635590541051,True
2017-02-06,2493.074313015982,2519.46506039638,2480.730253757409,2513.505859375,0.55385978153407,True
2017-02-07,2517.337120094985,2525.424608306316,2502.0134582208866,2508.823974609375,0.5104080720278575,True
2017-02-08,2514.782997822091,2516.059969554228,2476.048188613931,2496.479736328125,0.5098425111078849,True
2017-02-09,2511.3779372962185,2535.640402114165,2504.1417635785856,2513.08056640625,0.48522559808499977,False
2017-02-10,2553.943440714376,2553.943440714376,2524.147433906041,2545.004638671875,0.5211069519932118,True
2017-02-13,2553.9436492311997,2579.483085723512,2533.086442762479,2564.159423828125,0.47730502897686067,False
2017-02-14,2564.159226190476,2569.267113095238,2515.634300595238,2520.7421875,0.5174293763322197,True
2017-02-15,2539.8965412753173,2545.430084938227,2519.890652647877,2525.849853515625,0.476434472015302,False
2017-02-16,2525.850129091377,2530.9580161067292,2496.4797787531047,2505.84423828125,0.5204384505133285,True
2017-02-17,2511.3777320756376,2517.336933473783,2481.581725084909,2494.777099609375,0.4827453408480503,False
2017-02-20,2498.182376914202,2506.269864588656,2487.540945763605,2499.03369140625,0.4912728818079736,False
2017-02-21,2506.695479211046,2523.721768762488,2499.459306151683,2516.485595703125,0.4821834460003174,False
2017-02-22,2511.377685546875,2517.762544069452,2503.290198084945,2511.377685546875,0.4907484862235728,False
